Observation Start Date	Observation Start Hour	Observation End Date	Observation End Hour	Approximate Lat	Approximate Lon	Observing Ship/Sensor	Observor(s)	Description	Reported In	Approx Location	Phenomena	Confidence	Area KM2	Event Number
08/16/1615	(?)	08/16/1615	(?)	10 deg 30' N	52 deg 00' E	Red Dragon	William Keeling	We fell in the night into a white water like an extreame shoald but had no ground at 60 fathom line, the lattd about 10:30:	The East India Company Journals of Captain William Keeling and Master Thomas Bonner, 1615-1617, pp. 95	Somalia	Milky Sea	0	N/A	1
08/15/1769	19:00 LOC	08/16/1769	(?)	15 deg 10' N	57 deg 00' E	Kelfall	Newland, Captain	Read March 12, 1772. It has been remaked by feveral navigators, on their paffage from Mocha to Bombay, Surat, &c. that they had difcovered in the night fpots of water as white a milk, and could never affign any reafon for it; and many have been fo much alarmed, that they have immediately hove to and founded; but I never heard of any body ever getting ground. In my paffage acrofs thofe feas in the Kelfall, I difcovered all of a fudden, about 8 o'clock in the evening, the water all round me as white as milk (intermixt with ftreaks of ferpentine lines of black water). I immediately drew a bucket of it and carried it to the light, where it appeared juft as other water; I drew feveral more, and found it the fame: fome I kept till the next morning, when I could perceive no difference from that alongfide. We had run by the log 50 min. from the time we firft obferved it till daylight, and during all that time the water continued white as milk, but at full daylight it was of its ufual colour. The next evening about 7 o'clock the water appeared again as white as before; I then drew another bucket and carried it to a very dark place, and holding my head clofe to the bucket could perceived, with my naked eye, an immumerable quantity of animalcules floating about alive, which enlightened that fmall body of water to an amazing degree. From thence I conclude that the whole mafs of water muft be filled with this fmall fifh fpawn or animalcules, and that this is without all doubt the reafon of the water's appearing fo white in the night-time. We run by the log, from the tiem we firft faw it till the latter part of the fecond night (the time we loft fight of it) about 170 miles. N.B. Latitude about 15 deg 10' N. and S.W. dift. from Cape Aden 12 deg 18' E. On the 30th of Auguft 1769, at 3 o'clock in the morning, I faw a comet 8 deg 20' from AldebaranS.W. and the tail ftreaming to the Weftward. I made the meridian distance from Cape Aden to Striking Sounding on the Malabar Coaft (in the lat. of 14 deg 2'N.) 27 deg 31' E.	Philosophical Transactions (1683-1775), Vol. 62 (1772), pp. 93-94	Arabian Sea	Milky Sea	0	N/A	2
01/30/1777	(?)	02/03/1777	(?)	16 deg 00' N	59 deg 00' E	(?)	Johan Splinter Stavornius	On the 30th, we met, at night, with a very fingular appearance in the colour of the fea. It affumed fo great a degree of whitenefs, that it was perfectly like milk. During the day, we had obferved that the water was darker and browner than ufual, and had loft that azure clearnefs which it almoft always has in the open fea: in proportion as the evening twilight diminifhed, it became whiter, and encreafed gradually in whitenefs till nine o'clock, when it was fo white, that the whole fea appeared as if covered with a white fheet, or exactly like the appearance, in the night-time, of a flat country overfpread with fnow. The horizon was not diftinguifhable, except to the northweft, where the line of diftinction between the fea and the fky was difcernable, from the latter being fomewhat dark and gloomy. This phenomenon was entirely diftinct from the luminous appearance which if frequently obferved in the water of the ocean, as, inftead of giving any light, the whole was a deadly palenefs, excepting clofe to the veffel, where it feemed mixed with fome fparks of light. While it was the ftrongest, I had the lead caft feveral times, but we found no ground with a line of one hundred and fifty fathoms. I had fome of the water taken up, and examined it directly with the microfcope, but could not fee anything in it, with a glafs of the greateft magnifying powers; to the naked eye, it appeared as clear as crystal; and on, tafting it, it feemed to have loft fomething of its briny and bituminous tafte. The fame appearance was obferved by the Englifh captain Newland, in the fame part of the ocean, with the difference, however, that he faw it intermixed with black ftripes running in a ferpentine direction through the whitenefs, which I did not fee in it. He likewife difcovered animalculae in it, by putting a glafs, with fome of the water, in a dark place, and holding his hand clofe over it; but neither did I obferve any thing of this kind, although I likewife filled a glafs with the water, and put it in a dark place, but without holding my hand over it. The account given of this phenomenon by Mr. Nuberk, volume ii, page 84 and 85, agrees perfectly with the above. About midnight, when the moon rofe, the water refumed, by degrees, its former dufky colour, and on the following morning it appeared the fame as the day before. We were then, by eftimation, fixty leagues from the coaft of Arabia Felix, which was the neareft land. Our north latitude was 16 deg, and our compaffed fhewed a northweft-erly variation of five degrees. We had a light breeze of wind, chiefly from the northeaftm, varying, however, from E.N.E. to N.N.E.; the thermometer ftood at 72 deg; the fky was, in general, flightly clouded; and the ftars were vifible: i had no reafon to fuppofe that the moon had any influence upon this phenomenon, or had contributed to it, it having been in the quarter the day before; and the more; as we did not difcover any ftrong current. I remember to have read fomewhere in Valentyn, that this fame appearance is alfo fometimes obferved in the feas between Amboyna and Banda; but I am well affured that it would never be more diftinctly feen than when I obferved it. On the following evening, and part of the night, we faw this phenomenon again, and every night till the 3d of February, but in a flighter degree every fucceeding time, and on the evening after that day, it was not vifible at all; there was however, a ftrong luminous appearance in the water; we were then, by efitmation, thirty-five leagues from the neareft part of Arabia Felix, being in the north latitude of 17 deg 30', and our compaffes ftill fhewing a northwefterly variation of five degrees. During the time we faw this white water, the fky was fometimes entirely clear, with a fine ftarlight down to the very horizon, and fometimes it was cloudy, and even quite overcaft; fo that it does not appear to me that the ftate of the weather had any influence upon it: the themometer continued, for the moft part, at the point at which it was the firft evening.	Johan Splinter Stavornius, Voyages to the East-Indies, vol 3, pp 280-285	Arabian Sea	Milky Sea	0	N/A	3
08/22/1832	19:15 LOC	08/22/1832	(?)	16 deg 00' N	59 deg 35' E	(?)	G. Buist	August 22nd, 1832--Lat. 16 deg N., long. 59 deg 35 E. At 7.15 p.m. observed the water to become quickly discoloured and of a very white luminous appearance, the sea considerably foamed and smoothed down, having all the appearance of a shoal water over a coral and sandy bottom. Observed the same occurrence both in the Nautilus brig and Elphinshtone schooner on previous years when in the same vicinity	Buist, 1855, Notes on Certain Discoloured Appearances met withon the Surface of the Sea in. Warm Latitudes	Arabian Sea	Milky Sea	0	N/A	4
08/22/1832	07:45 LOC	08/22/1832	(?)	21 deg 40' N	59 deg 40' E	H. C. Clive	(?)	During a passage from Bombay to the Persian Gulf, on board the H. C. sloop Clive, on the 22nd August, 1832, at a quarter before eight o'clock at night, a phenomenon appeared of the following nature, and to all on board of an unheard-of kind, which gave rise to transitory feelings of apprehension as to the vessel's contiguity to danger. Sailing under double-reefer topsails and fore sail at the rate of nine and a half miles per hour, before a strong S W. monsoon wind and a high sea, without any indication of a change in the elements, the ship was surrounder instanter by water as white as milk or snow; it seemed to have no termination until it reached an altitude of 75 deg or 80 deg, where it subsided in a strongly marked ecliptic, above which the heavens presented a beautiful and bright bluish cast, not dissimilar to polished steel. No line of horizon was visible; the dead white colour of the water close to the ship as it increased in distance from her very gradually brightened until, where I supposed the horizon to be, it assumed a silvery aspect, which increasing as it ascended became brilliant and dazzling towards the zenith, obscuring the stars and clouds which had before this visitation been distinctly visible. The sea in a moment became smooth, the ship, from rolling and labouring considerably, quite steady; no diminution in the wind occurred, but a sensation that it had fallen even to a calm was general, but momentary. The delusion was occasioned by the instantaneous steadiness of the vessel, as well as the vessation of the previous noise from the lashing of a mountainous and confused sea against the vessel's sides and on her decks; her progress through the sea, howevr closely scrutinized, could not be observed; the disturbed water alongside and in her wake, as well as the foam around her bows, did not contrast with the adjoining unagitated fluid, not withstanding from the velocity of the ship through the water these must have been considerable. Not a particle of phosphoric matter was once observable, either in the surrounding ocean or in the water immediately displaced by the ship's passage through it; but when taken up in a bucket and agitated with the hand, such was visible, but not in a greater proportion than is usual, nor did the water vary in appearance from common sea-water; nothing could be perceived to attribute this strange phenomenon to. Animalcules of a minute kind were perceptible, as likewise a few pieces of glutinous susbtance of a purple colour, but neither in any considerable quantity, nor differing from what is usually found in the seas of the Indian Ocean. We sailed the distance of fifteen miles without the slightest change in the appearance of the sea or sky, when in a moment this extraordinary phenomenon vanished, the ship at the same instant encountering the like high and turbulent sea as previous to her envelopment. The ship was not within one hundred miles of the eastern coast of Arabia or of soundings, but sailing in what is termed deep ocean water. I have before mentioned that the ship was quite steady during her progress through the white water; this was the case, with the exception that in a few instances she gave a heavy roll as if influenced by a following swell; these were not more frequent than once in a quarter of an hour. Latitude 21 deg 40 N., long 59 deg 40 E.; therm 87 deg, bar. 29. 09. The phenomenon I have attempted to describe appeared twice after we were first extricated from it, for periods of about twenty minutes; its brilliancy as well as influence over the waves as previously described; the transition from high and mountainous seas to a smooth and seemingly quite ocean, and change again to turbulence, was as sudden as a flash of lightning. On my arrival at Muscat, a few days after, I endeavoured to gain some information on the foregoing matter; but beyond finding that the phenomenon was occasionally met during the S W. monsoon, about the limit noted, and that the water was then quite fresh, I could ascertain nothing satisfactory. My informants were the Nakodas, or captains of H.H. the Imaum's ships of war, who frequently navigated between Muscat and Zanzibar, consequently must pass about the spot the Clive met what i have related. The Arab Captains were firm in their assertion in the particulars of the fresh water, although they confessed that they had never tasted it. I had, as also the surgeon of the vessel, and, as I mentioned before, it did not vary in any way from ordinary sea-water.	Buist, 1855, Notes on Certain Discoloured Appearances met withon the Surface of the Sea in. Warm Latitudes	Indian Ocean	Milky Sea	0	N/A	5
01/25/1849	18:30 LOC	01/26/1840	(?)	16 deg 13' N	61 deg 51' E	Moozuffer	Kempthorne, Captain	Moozuffer, 25th January, 1849.--I cannot permit this opportunity to pass by without describing to you, in the best way I am able, a most extraordinary phenomenon which we all witnessed on the night of the 23rd instant. It would indeed require a far abler and more scientific pen than mine to do justice to it--however, I hope you will take the will for the deed, and pardon all imperfections. At 6.30 p.m. observed a very remarkable milky appearance in the water, the colour assuming the same ting as a shallow mud-bank or sand bank. The sea, which had, a few minutes before, been turbulent and confused, suddenly became smooth and placid, and the air felt cold and chilly. In the space of an hour the whole verge of the horizon, as far as the eye could reach, was most brilliantly illumiated. The vessel shortly after entered a vast body of water of the most dazzling brightness, and of highly phosphoresent nature; in fact it looked as if we were sailing over a boundless plain of snow, or a sea of quicksilver. The surface of the ocean for miles in extent was unbroken-not a wave or rippe disturbed it, and the waters seemed so dense and solid, that the Moozuffer actually appeared as if she was forcing her way through molten lead. That part of the surface which was broken by the stroke of our huge paddle-wheels resembled small patches of thick milk or cream. The sky and everything around us was quite lighted up by it. The weather was particularly fine, though the atmosphere was damp and moist: the wind was light from the N.W., stars overhead clear and light, but those of a lesser altitude were rendered dim by a haze. The horizon nearly the whole time was dark and ill-defined; a few thin cumuli, floating very low down, occasionally swept past; but no other peculiarity in the atmosphere could be perceived until about ten o'clock, when a singular light was seen in the heavens to the northward, as if day was dawning or the full moon was either setting or just rising. It strongly resembled a faint Aurora Borealis, being of a roseate tinge near the horizon, and was a steady fixed light, but without those corruscations which are usually observed in the higher latitudes. It extended along the horizon in the form of a segment of a circle from N.W. to N.E., and the altitude of the centre of the arch was 15 deg. It continued visible until a sew minutes after midnight, when it disappeared as suddenly as it appeared, and the sea about the same period lost also its luminous quality. The light in the heavens and the lightness of the sea were, however, again seen for about ten minutes at 2 a.m., when both became  once more invisible. The horizon, except where the light appeared, was everywhere dark and indistinct, and could not be made out: the sky and sea were apparently blended together. The phenomena was altogether as beautiful as it was extraordinary. I could have stood on the deck gazing at it the whole night, and should not have felt fatigued. There was something grand and sublime in such a scene as I have faintly endeavoured to pourtray. No language of mine could ever do justice to it. We were upwards of six hours in passing thorugh this vast body of luminous water, and during that time we ran a distance of upwards of forty miles. Our lat. on first entering it was 16 deg 13 S., and long. 61 deg 51 E., so that our position was exactly abreast of the entrance to the Persian Gulf, and in the fair channel to the Red Sea. From the fact of our having seen immense quantities of sea-weed floaitng past whilst in this luminous water, I should conclude the accumulation of this and other decayed matter, whether vegetable or animalculae, was the sole cause of this phosphorescent appearance; and that all this matter might have been swept out of those narrow seas by strong currents which meet no doubt about this spot: and I am still more inclined to believe this is the case, as a luminous stream of water has often been noticed nearly in the same lat. and long. and about the sea season of the year. I saw it once in the Victoria when I commanded her, in the month of January, 1842, whilst on our voyage from Aden to Bombay; but the sea was not nearly so bright then as this time. The colour of the water so strongly resembled a shoal that I stopped the engines, and took several casts of the lead but could get no bottom with eighty fatomes of line. Several buckets of water were drawn up by Dr. Wilson, of the Moozuffer, but nothing whatever could be seen. It seemed as clear as crystal: on taking a bottle of it, however, in the dark, it became highly phosphorescent, giving out a strong lgiht. It was full of animalculae: some were in the shape of most minute globules of gelatinous substance, and others were not unlike small worms about an inch in length and about the size of a fine hair. On removing the bottle to the light, the animalculae became instantly invisible. The light seen in the heavens I cannot account for, unless it was the low fleecy clouds which hung on the verge of the horizon that reflected back the brightness of the sea; but why the whole sky should not have assumed the same appearance, I cannot imagine. it continued to shine in one spot only, and disappeared at the same time the sea lost its brilliancy. I send you an extract of the log, in which the luminous appearance in the sea and heavens is noticed:--' at 6.30 p.m., passing through an illuminated sea: the sea also became suddenly smooth, with queantities of sea-weed floating by. At 10 an extraordinary luminous appearance to the northward, as that of a full moon rising or setting: the water of a thick white; with a very dark horizon: wind N.W.--hazy blue sky, with passing clouds.'	Buist, 1855, Notes on Certain Discoloured Appearances met withon the Surface of the Sea in. Warm Latitudes	Arabian Sea	Milky Sea	0	N/A	6
01/17/1850	07:00 LOC	02/03/1850	2:00	15 deg 00' N	63 deg 00' E	H. C. Steamer Atalanta	(?)	17th January, 1850.--Lat. 15 deg N., long. 63 deg E., 7 a.m. --Observed the water to have a luminous appearance. 9 a.m.--The sea of a turbid chalky colour. 10 a.m.--The sea assumed its natural appearance. 18th Jan.--1.am.--The sea assumed a luminous appearance and continued so till 3 a.m. 19th Jan.--1 a.m.--The sea gradually became of a dark chalky colour inclining to milky. An intense haze all round, so that it was impossible to see ten miles off. 3rd Feb., 1850.--Lat. 10 deg 50N, long. 6 deg 20E., 7 p.m.--The sea had a similar appearance to what it has now assumed on passing across from Vingorla to Aden on the 17th Jan, at 9 p.m.,and so on till the 19th, till 2 a.m., betwixt lat. 15 deg and 14 deg 30N., and long 63 deg 50 to 56 deg 50 E.	Buist, 1855, Notes on Certain Discoloured Appearances met withon the Surface of the Sea in. Warm Latitudes	Arabian Sea	Milky Sea	0	N/A	7
01/16/1854	19:00 LOC	01/16/1854	(?)	11 deg 59' N	59 deg 02' E	SS Bengal	John Bowen, Captain	At 7 p.m. ship entered into a perfectly white milky sea, cloudy on the horizon but perfectly clear; bright star-light; moon half an hour from rising. Stopped and tried for soundings 90 fathoms. No bottom. Density of the water before entering that strange appearance 11 deg. Density of the water when sounding 14 deg. Sympiesometer 29 deg 90. Barometer, 30 12. Thermometer, 80 0. Latitude 11 deg 59 N. Longitude, E. 59 2. I may remark that previous to entering this strange sea, there was a moderate riplle on the water and after leaving it also, but smooth like oil when in it. Signed John Bowen.	Buist, 1855, Notes on Certain Discoloured Appearances met withon the Surface of the Sea in. Warm Latitudes	Arabian Sea	Milky Sea	0	N/A	8
07/27/1854	19:45 LOC	07/27/1854	(?)	11 deg 27' S	105 deg 40' E	Shooting Star	A. R. Wright, Surgeon	Dear Sir,--A short time since, I had an opportunity of examining some Nos. of your journal and find (Jour. No. II. 1854, p. 206) that you solicit further notices of such phenomena as Capt. Bowen has given you on the preceding page. Accordingly I send you the following copy of notes taken immediately after witnessing the phenomena they describe. Ship 'Shooting Star' bound from N.Y. to Hong Kong, Thursday, July 27th, 1854. Lat. 11 deg 27 N.[should read S. not N., this is known from another account aboard this ship during the same night.]; Long 105 deg 40 E. 7 3/4 P.M. A little cloudy on the horizon, but very clear bright starlight, fresh breeze. Air 73 deg F. Ship entered light-colored water, and in about 15 minutes the sea as far as the eye could reach appeared like an immense field of snow, no ripples, but smooth like oil, so that when the ship's bows threw up a ripple it immediately fell back to its former level. Orders were given to heave the lead, when 60 fathoms found no bottom. The light from the water illuminated objects on deck and dimmed all stars within 20 deg of the horizon. Looking over the widest part of it, the horizon appeared like a dim Aurora Borealis. Ship's head North, sailed 10 miles through this patch, then 1/2 a mile through ordinary colored seawater, and again through another patch of 10 miles of light water: limits of light water well defined. Dipped up deck a tup full of this water, and found it 78 1/2 deg, same as water in the morning. The tub presented a brilliant sight, being filled with bright self-luminous serpentine animalculae, varying from half an inch to five inches in length. Examined carefully in the hand, by the light, they were found to be nearly transparent, about the size of a hair in the middle, and tapering a little towards each end; [???] a jelly-like substance which burnt in the candle with a red light, and cripsed like burnt whalebone. A few were differently formed. Two were found capable of propelling themselves through still water in a tumbler. One of thse was in the form of concentri ring half an inch in diameter, with teeth-like projections on the inner-edge, and seemed to propel itself by contracting the diameter of the ring: it was preserved alive abut 36 hours. This examination satisfied me that the light is emitted by animalculae,but I am most anxious to know if scientific men can expalin why it appears at certain times and within such prescribed limits. Your's truly, A. R. Wright, Surgeon, P. and O. Co.'s S.S. "Lady Mary Wood.'	Buist, 1855, Notes on Certain Discoloured Appearances met withon the Surface of the Sea in. Warm Latitudes	South China Sea	Milky Sea	0	N/A	9
07/27/1854	(?)	07/27/1854	(?)	09 deg 30' S	106 deg 30' E	Shooting Star	Kingman, Captain	The whole appearance of the ocean was like a plain covered with snow. There was scarce a cloud in the heavens, yet the sky appeared as black as if a storm was raging. The scene was one of awful grandeur, the sea having turned to phosphorus, and the heavens being hung in blackness, and the stars going out, seemed to indicate that all nature was preparing for that last grand conflagrations which we are taught to believe is to annihilate this material world	Herring and Watson 1993	Java	Milky Sea	0	N/A	9
