Beaufort Wind Speed,Reported SST
2,25C
1,24.2C
5,25.5C
4,25C
6,70F
4,77F
5,76F
4,75F
3,24.2C
1,69F
4,77F
7,58F
7,58F
5,78F
4,77F
4,74.2F
6,76F
6,77F
5,78F
5,76F
5,23C
4,80F
2,78F
6,81F
5,77F
6,77F
6,73F
5,76F
2,78F
4,78F
6,78F
6,79F
2,73F
3,77F
7,76F
2,78F
6,77F
1,76F
4,74.5F
2,78.5F
2,74F
4,76F
1,27F
1,38F
1,25.6C
1,70.5F
6,80F
5,74F
3,78.4F
4,75.5F
3,74.8F
3,24.7C
2,77F
1,79F
4,78F
3,78F
4,73F
6,25C
5,76F
5,74F
4,25.3C
4,25C
4,23C
8,24.2C
3,75F
3,76F
4,25C
2,78F
3,22.9C
3,16.6C
4,23C
3,78F
1,25.6C
4,24C
1,59F
5,78F
5,23.6C
4,25.1C
2,25C
3,22C
4,24C
7,25C
8,23.2C
3,23.9C
2,24C
4,26C
5,26C
2,23C
2,24.1C
8,26.4C
3,26.2C
4,27C
0,79F
4,23.6C
7,25C
2,29.8C
4,22.1C
3,26.1C
4,21C
4,29C
4,25C
3,25C
6,27C
3,24.5C
8,25.5C
5,23.9C
6,25.8C
6,25.2C
8,26.5C
4,24C
7,24.6C
3,26.5C
1,23C
4,23C
3,23.1C
4,26.2C
4,23.3C
2,25C
4,23C
7,26C
5,24C
2,24.2C
5,22C
7,26C
6,28.5C
5,22.8C
4,25C
5,24C
5,25.C
3,26.3C
7,19C
5,26C
5,23C
2,23.28C
7,25C
6,27.2C
4,26.2C
8,24.8C
8,27C
6,26.5C
2,26.1C
4,26.6C
3,25C
4,24.5C
5,26.8C
3,
3,
5,
6,
5,
6,
4,
3,
2,
4,
6,
3,
1,
4,
4,
2,
4,
7,
4,
7,
3,
4,
2,
